graph file,number of bags,largest bag size,number of vertice,total number of bag size,smallest bag size,density of edges
twldrv.edge.bz2,255.0,5.0,264.0,1056.0,3.0,0.005213734301186773
joco_20140604_1619_subgraph_tram+bus.gr.bz2,113.0,6.0,127.0,470.0,3.0,0.011061117360329959
graph10-pp-001.dgf.bz2,201.0,93.0,306.0,3642.0,6.0,0.013104039429979642
guy@connectoos.com_20150906_0927_subgraph_tram+bus.gr.bz2,210.0,4.0,245.0,788.0,3.0,0.005018400802944129
chapel-hill-transit_20150227_1732.gr.bz2,444.0,12.0,483.0,2017.0,3.0,0.0028435693238146784
tuvisa-euskotran_20151219_0143.gml.lp.gr.bz2,88.0,10.0,103.0,576.0,3.0,0.017894536455358843
connectoos.com_20150906_0927_subgraph_metro+bus.gr.bz2,212.0,4.0,246.0,808.0,3.0,0.00506056080968973
socit-de-transport-de-montral_20151217_1107_subgraph_bus.gr.bz2,5446.0,42.0,5784.0,26245.0,3.0,0.00024308742010791873
cit-chambly-richelieu-carignan_20151217_1358.gr.bz2,234.0,5.0,249.0,956.0,3.0,0.004955305091333074
rpsrute@ruter.no_20150309_1432_subgraph_bus.gr.bz2,11685.0,461.0,12350.0,78691.0,3.0,0.00012311311738923605
rpsrute@ruter.no_20151217_2005_subgraph_metro+bus.gr.bz2,11730.0,451.0,12408.0,74773.0,3.0,0.00012095145847711746
kcata_20151219_0125.gr.bz2,4914.0,45.0,5048.0,21964.0,3.0,0.00024029275366232533
thomaskoch_20130224_1534_subgraph_tram+bus.gr.bz2,4617.0,11.0,4819.0,19154.0,3.0,0.0002487731255423069
he143.gr.xz,5625.0,648.0,10531.0,158084.0,7.0,0.0009391618450587209
tec_20150902_2003.gr.bz2,15163.0,25.0,15867.0,67591.0,3.0,8.21820987360815e-05
thomaskoch_20130417_1934_subgraph_train.gr.bz2,1054.0,60.0,1265.0,8401.0,3.0,0.0023646620303197077
comune-di-milano_20151202_1900_subgraph_metro.gr.bz2,105.0,3.0,109.0,320.0,3.0,0.009259259259259259
ex162.gr.xz,569.0,11.0,755.0,2933.0,4.0,0.002287139670103817
space-coast-area-transit_20151216_1729_subgraph_bus.gr.bz2,855.0,8.0,875.0,3539.0,4.0,0.0012919254658385092
portland_2016-01.gml.lp.gr.bz2,593.0,23.0,693.0,3712.0,3.0,0.0025711282936716462
durham-area-transit-authority_20150227_1734_subgraph_metro+bus.gr.bz2,833.0,5.0,883.0,3448.0,3.0,0.001363625858044237
thebus_20130419_0809_subgraph_tram+bus.gr.bz2,3311.0,19.0,3469.0,14899.0,3.0,0.00037072465531750486
metlink-archiver_20110705_0254.gml.lp.gr.bz2,405.0,12.0,471.0,2451.0,3.0,0.003731309572209423
he031.gr.xz,522.0,34.0,630.0,3471.0,4.0,0.0030862795568677923
metropolitan-atlanta-rapid-transit-authority_20151217_1331.gr.bz2,7116.0,18.0,7346.0,29852.0,3.0,0.00016517048867446048
abq-ride_20151004_0137.gr.bz2,1738.0,13.0,1828.0,7382.0,3.0,0.0007689184479345197
celar10-pp.dgf.bz2,74.0,17.0,133.0,703.0,5.0,0.0367965367965368
metropolitan-atlanta-rapid-transit-authority_20151217_1331_subgraph_train+metro+tram+bus.gr.bz2,7112.0,18.0,7341.0,29814.0,3.0,0.00016528422539675822
stebazzi81_20151219_2019_subgraph_bus.gr.bz2,663.0,10.0,715.0,2840.0,3.0,0.0018177900530841706
hamilton-street-railway_20151216_1914.gml.lp.gr.bz2,255.0,13.0,300.0,1511.0,4.0,0.005730211817168339
mountain-line-mutd_20150218_1721.gr.bz2,435.0,5.0,456.0,1775.0,3.0,0.0026653171390013494
transportes-urbanos-de-braga_20150131_2038_subgraph_bus.gr.bz2,941.0,18.0,988.0,4204.0,3.0,0.0013526040961651263
rseau-de-transport-de-longueuil_20151217_1019_subgraph_train+metro+tram+bus.gr.bz2,2133.0,16.0,2241.0,9640.0,3.0,0.0005904570663606808
golden-gate-transit_20151217_1433_subgraph_bus.gr.bz2,504.0,8.0,555.0,2178.0,3.0,0.002481542914755911
mountain-line-archiver_20110312_0338_subgraph_train+metro+tram+bus.gr.bz2,242.0,5.0,255.0,983.0,4.0,0.004461942257217848
central-arkansas-transit-authority_20120522_1545_subgraph_bus.gr.bz2,982.0,10.0,1049.0,4101.0,3.0,0.001153406734148844
austin_2015-12.gml.lp.gr.bz2,460.0,38.0,549.0,3679.0,4.0,0.0032939784345791287
stebazzi81_20151219_1954.gml.lp.gr.bz2,1569.0,67.0,1875.0,12474.0,4.0,0.0009804340092493774
cecil-transit_20151202_2004_subgraph_train+metro+tram+bus.gr.bz2,97.0,6.0,105.0,416.0,4.0,0.01282051282051282
hamilton-street-railway_20151216_1914_subgraph_bus.gr.bz2,1853.0,13.0,1931.0,7872.0,3.0,0.0006308310279782013
taisto-transport-aktsiaselts-archiver_20151202_1913_subgraph_train+metro+tram.gr.bz2,138.0,3.0,157.0,450.0,3.0,0.0066960640209047856
Promedas_17.gr.xz,836.0,72.0,1098.0,7043.0,5.0,0.0017484346279719653
Promedas_62_11.gr.xz,240.0,26.0,306.0,1826.0,5.0,0.006696667738133505
dimacs_fpsol2.i.1-pp.gr.bz2,71.0,73.0,191.0,1912.0,4.0,0.12174152659134747
des-moines-area-regional-transit-authority_20150715_1946_subgraph_metro+bus.gr.bz2,1106.0,13.0,1155.0,4736.0,3.0,0.0010826262126088816
lignes-dazur_20151219_2008.gr.bz2,1371.0,38.0,1457.0,6761.0,3.0,0.0009913302209115524
thomaskoch_20130224_1534_subgraph_train+metro+tram+bus.gr.bz2,4610.0,11.0,4819.0,19131.0,3.0,0.0002487731255423069
ex166.gr.xz,174.0,11.0,217.0,948.0,4.0,0.008576548899129545
nfta-metro_20151219_0131_subgraph_bus.gr.bz2,2966.0,35.0,3120.0,13482.0,3.0,0.0004187527231772182
beloit-transit-system_20150513_1515_subgraph_bus.gr.bz2,225.0,7.0,235.0,967.0,3.0,0.005837424986361157
ruter.no_20151217_2005.gml.lp.gr.bz2,3782.0,458.0,4394.0,44929.0,4.0,0.0005135513205775606
Pedigree_11_7.gr.xz,140.0,18.0,202.0,975.0,3.0,0.012339293630855622
dimacs_school1_nsh-pp.gr.bz2,129.0,99.0,324.0,6564.0,8.0,0.0705863241982953
commuteorg-shuttle_20150308_1938.gr.bz2,91.0,6.0,118.0,388.0,3.0,0.012096190062291757
brockton-area-transit-authority_20151202_1536.gr.bz2,819.0,5.0,844.0,3291.0,4.0,0.0012593254737930995
rhode-island-public-transit-authority_20120920_0331_subgraph_tram+bus.gr.bz2,4721.0,25.0,4838.0,20530.0,3.0,0.00023844721124876002
ex075.gr.xz,97.0,9.0,111.0,664.0,4.0,0.029484029484029485
bbodenmiller_20150319_0954_subgraph_bus.gr.bz2,1567.0,13.0,1664.0,6617.0,3.0,0.0007592424487719135
cit-le-richelain_20150821_1710.gr.bz2,235.0,7.0,260.0,1017.0,3.0,0.005152955152955153
taisto-transport-aktsiaselts-archiver_20151219_0123_subgraph_bus.gr.bz2,5367.0,379.0,5838.0,41959.0,3.0,0.00032221707887856483
everett-transit_20150319_0949_subgraph_metro+bus.gr.bz2,430.0,8.0,452.0,1869.0,3.0,0.0028697290190922826
trasporti-regionali-della-sardegna_20131105_0940.gml.lp.gr.bz2,1070.0,23.0,1243.0,6934.0,3.0,0.0016770241856813616
FLA_15.gr.xz,296.0,10.0,325.0,1687.0,4.0,0.004957264957264958
san_joaquin_valley_ca_2016-01.gml.lp.gr.bz2,267.0,19.0,307.0,1961.0,5.0,0.006514657980456026
foothill-transit_20150902_0101_subgraph_tram+bus.gr.bz2,1718.0,17.0,1753.0,7320.0,3.0,0.0006430593867785688
he146.gr.xz,17715.0,601.0,26328.0,234518.0,4.0,0.00010302288526819571
ex115.gr.xz,13.0,909.0,963.0,7186.0,8.0,0.4532321681854392
graph02-pp.dgf.bz2,123.0,48.0,179.0,1774.0,5.0,0.020682945201180088
ex067.gr.xz,193.0,12.0,235.0,1029.0,4.0,0.0077104928168757955
regional-transit-system_20150224_2046_subgraph_metro+bus.gr.bz2,846.0,20.0,909.0,4055.0,3.0,0.0015084107529695701
transperth-archiver_20141007_0213_subgraph_train+metro+tram.gr.bz2,114.0,5.0,145.0,423.0,3.0,0.009147509578544061
tec_20150902_2003_subgraph_bus.gr.bz2,15132.0,25.0,15834.0,67465.0,3.0,8.229366923669744e-05
cape-cod-regional-transit-authority_20130620_0312_subgraph_tram+bus.gr.bz2,108.0,5.0,128.0,457.0,3.0,0.01236466535433071
santa-cruz-metro_20151217_1054_subgraph_tram+bus.gr.bz2,721.0,8.0,767.0,3155.0,3.0,0.001730999009398797
commute.org_20140813_1738_subgraph_tram+bus.gr.bz2,89.0,6.0,116.0,380.0,3.0,0.012368815592203899
RingedTree_8.gr.bz2,208.0,15.0,255.0,1490.0,4.0,0.007827698008337193
suntran_20150829_0115_subgraph_metro+bus.gr.bz2,126.0,3.0,131.0,504.0,4.0,0.008162066940692894
hamilton-street-railway_20151216_1914_subgraph_tram+bus.gr.bz2,1854.0,12.0,1931.0,7886.0,3.0,0.0006308310279782013
pocatello-regional-transit_20150825_1840_subgraph_tram+bus.gr.bz2,216.0,7.0,229.0,944.0,4.0,0.005401057228223397
c-tran_20151202_1648.gml.lp.gr.bz2,119.0,13.0,146.0,730.0,4.0,0.012753897024090695
he074.gr.xz,12.0,110.0,121.0,1021.0,62.0,0.25
via-metropolitan-transit_20150930_1536_subgraph_bus.gr.bz2,5955.0,32.0,6132.0,26057.0,3.0,0.00019584899087896431
he106.gr.xz,3293.0,77.0,4660.0,28003.0,4.0,0.0005788786666998297
harford-transit-link_20151202_1855_subgraph_bus.gr.bz2,124.0,5.0,136.0,515.0,3.0,0.010294117647058823
Promedas_24.gr.xz,762.0,45.0,1028.0,5578.0,5.0,0.0018441761164511496
abq-ride_20151004_0137_subgraph_train+metro+tram+bus.gr.bz2,1734.0,13.0,1826.0,7362.0,3.0,0.0007694038920313883
bc-transit-archiver_20130426_0318_subgraph_metro+bus.gr.bz2,3873.0,25.0,3981.0,16863.0,3.0,0.0002875467515926783
taisto-transport-aktsiaselts-archiver_20151202_1913_subgraph_train+metro+tram+bus.gr.bz2,5370.0,378.0,5852.0,42309.0,3.0,0.00032418175065855625
cango.transit.update_20151216_1627.gml.lp.gr.bz2,930.0,21.0,1098.0,5777.0,4.0,0.001597335339134882
durham-area-transit-authority_20150227_1734_subgraph_tram+bus.gr.bz2,833.0,5.0,883.0,3448.0,3.0,0.001363625858044237
graph14-wpp.dgf.bz2,322.0,117.0,453.0,4619.0,5.0,0.0067641485475395105
tillamook-archiver_20151217_0912.gr.bz2,164.0,4.0,182.0,638.0,3.0,0.00713375022767288
nrw1379.tsp-pp.dgf.bz2,962.0,48.0,1367.0,10137.0,6.0,0.002185482739452542
taisto-transport-aktsiaselts-archiver_20150319_0103_subgraph_train+metro+tram.gr.bz2,125.0,3.0,144.0,402.0,3.0,0.007381507381507382
cango.transit.update_20150409_1736.normalized_subgraph_tram+bus.gr.bz2,6143.0,23.0,6326.0,26582.0,3.0,0.000181945643738933
transilien-archiver_20151219_0118_subgraph_train+metro+tram+bus.gr.bz2,465.0,7.0,509.0,1882.0,3.0,0.0027342481011091687
ch130.tsp.dgf.bz2,93.0,14.0,130.0,753.0,4.0,0.02248062015503876
central-arkansas-transit-authority_20120522_1545.gml.lp.gr.bz2,99.0,10.0,121.0,577.0,4.0,0.015151515151515152
informacin-oficial-consorcio-regional-de-transportes-de-madrid_20110818_0819_subgraph_metro+bus.gr.bz2,2944.0,32.0,3228.0,15473.0,3.0,0.0004802838810854358
san-joaquin-regional-transit-district-rtd_20151202_1522.gml.lp.gr.bz2,266.0,19.0,307.0,1952.0,4.0,0.006514657980456026
Pedigree_12_14.gr.xz,203.0,18.0,284.0,1470.0,4.0,0.008746827253272284
graph08.dgf.bz2,236.0,90.0,340.0,3585.0,3.0,0.010706229394412632
carta_20140520_1901_subgraph_train+metro+tram+bus.gr.bz2,912.0,9.0,958.0,3807.0,3.0,0.0012783511451713884
le450_15c.dgf.bz2,73.0,377.0,450.0,8959.0,20.0,0.08255382331106162
delaware-department-of-transportation_20101101_1838_subgraph_metro+bus.gr.bz2,2438.0,17.0,2554.0,10634.0,3.0,0.0004924573206211557
edmonton-transit-system_20150902_0111.gr.bz2,3605.0,29.0,3829.0,17298.0,3.0,0.0003901780205127617
csehpacilla@mailbox.hu_20141204_2045_subgraph_train+metro+tram+bus.gr.bz2,249.0,6.0,267.0,964.0,3.0,0.0046464475796232155
trasporti-regionali-della-sardegna_20131105_0940_subgraph_train+metro+tram+bus.gr.bz2,3240.0,24.0,3436.0,15352.0,3.0,0.00042583620980355275
rtc-ride_20141220_0137_subgraph_tram+bus.gr.bz2,766.0,9.0,827.0,3175.0,3.0,0.0014858688746336565
guelph-transit_20151216_1513_subgraph_metro+bus.gr.bz2,492.0,10.0,511.0,2101.0,3.0,0.002352173746210813
sioux-area-metro_20151217_0859.gr.bz2,382.0,4.0,389.0,1532.0,4.0,0.0026700765907826042
taisto-transport-aktsiaselts-archiver_20151217_1052_subgraph_train.gr.bz2,111.0,3.0,125.0,357.0,3.0,0.008580645161290323
capital-area-transit_20150218_1730_subgraph_metro+bus.gr.bz2,1160.0,10.0,1211.0,4856.0,3.0,0.0009956937439859143
sonomacounty-ca-us-archiver_20140630_0109_subgraph_bus.gr.bz2,760.0,7.0,805.0,3306.0,3.0,0.0016764006056673155
cdta_20151216_1721_subgraph_bus.gr.bz2,1944.0,21.0,2049.0,8699.0,3.0,0.0006410329734016593
marin-transit_20151216_1448_subgraph_train+metro+tram+bus.gr.bz2,348.0,5.0,396.0,1424.0,3.0,0.0032988108937476025
guy@connectoos.com_20150906_0927_subgraph_train+metro.gr.bz2,1078.0,54.0,1252.0,8130.0,3.0,0.0022205877470547523
gbrail.info_20130817_2226_subgraph_metro+bus.gr.bz2,442.0,3.0,606.0,1389.0,3.0,0.0013610451954286337
he032.gr.xz,568.0,36.0,676.0,3904.0,4.0,0.0029541968003506465
he082.gr.xz,12.0,45.0,56.0,484.0,29.0,0.24545454545454545
lanta_20151217_1314_subgraph_tram+bus.gr.bz2,2083.0,9.0,2124.0,8703.0,4.0,0.0005171589434345208
vta_20140729_2023_subgraph_bus.gr.bz2,2502.0,27.0,2636.0,11468.0,3.0,0.0005158468497781412
durham-area-transit-authority_20150227_1734.gr.bz2,832.0,5.0,883.0,3457.0,3.0,0.001363625858044237
napa-county_20121130_1137_subgraph_bus.gr.bz2,303.0,6.0,321.0,1302.0,3.0,0.0044392523364485985
santa_cruz_ca_2016-01.gml.lp.gr.bz2,171.0,8.0,209.0,965.0,3.0,0.008557232241442768
city-of-albany-linn-benton-loop-archiver_20130218_0424_subgraph_metro+bus.gr.bz2,378.0,10.0,403.0,1689.0,3.0,0.003277656383096922
rtc-ride_20141220_0137_subgraph_metro+bus.gr.bz2,770.0,9.0,827.0,3196.0,3.0,0.0014858688746336565
ex137.gr.xz,123.0,20.0,196.0,1203.0,4.0,0.02872841444270016
gil262.tsp-pp.dgf.bz2,192.0,22.0,258.0,1714.0,6.0,0.011477091062648931
ex101.gr.xz,9.0,541.0,1038.0,1296.0,14.0,0.2703756760924781
lextran_20140118_0122.gr.bz2,852.0,10.0,888.0,3782.0,3.0,0.0014816112617690971
dimacs_miles1000.gr.bz2,68.0,28.0,128.0,1343.0,4.0,0.09805610236220473
csehattila87_20151216_1417_subgraph_tram+bus.gr.bz2,256.0,6.0,274.0,993.0,3.0,0.0046389133980374855
santa-cruz-metro_20151217_1054_subgraph_metro+bus.gr.bz2,720.0,8.0,767.0,3160.0,3.0,0.001730999009398797
ann-arbor-transportation-authority_20120521_1947_subgraph_metro+bus.gr.bz2,1016.0,15.0,1041.0,4478.0,3.0,0.0011074780166999186
huntsville-shuttle_20151202_1652_subgraph_train+metro+tram+bus.gr.bz2,430.0,5.0,443.0,1734.0,3.0,0.00252290532465808
riverside-transit-agency_20151216_1636.gr.bz2,2176.0,10.0,2261.0,9381.0,3.0,0.000543654816374617
port-authority-of-allegheny-county_20140619_0109_subgraph_tram+bus.gr.bz2,6054.0,24.0,6266.0,26149.0,3.0,0.0001852432553190568
halifax-metro-transit_20151202_1632_subgraph_metro+bus.gr.bz2,2386.0,26.0,2447.0,10738.0,3.0,0.00047866778985130725
merrimack-valley-regional-transit-authority_20130526_0306_subgraph_tram+bus.gr.bz2,90.0,4.0,106.0,335.0,3.0,0.012309074573225517
regional-transportation-agency-of-central-maryland_20150811_1652_subgraph_train+metro+tram+bus.gr.bz2,541.0,6.0,586.0,2262.0,3.0,0.002263644584463697
indygo_20120905_1753_subgraph_train+metro+tram+bus.gr.bz2,2635.0,15.0,2793.0,11045.0,3.0,0.00044190500811997245
comune-di-milano_20151202_1900_subgraph_train+metro+tram+bus.gr.bz2,2250.0,19.0,2408.0,10327.0,3.0,0.0005966125931150424
ex023.gr.xz,577.0,9.0,690.0,2838.0,3.0,0.0028501714309753685
ex059.gr.xz,249.0,12.0,298.0,1567.0,4.0,0.008812961833096062
Promedas_51.gr.xz,361.0,31.0,481.0,2786.0,5.0,0.00391978516978517
Promedas_61.gr.xz,375.0,40.0,487.0,3026.0,5.0,0.004149026964450191
go-taps_20150524_1019_subgraph_train+metro+tram+bus.gr.bz2,153.0,4.0,161.0,609.0,3.0,0.007531055900621118
NY_11.gr.xz,197.0,13.0,226.0,1252.0,4.0,0.007256637168141593
ex189.gr.xz,66.0,80.0,178.0,3113.0,7.0,0.14336951691741256
miami-dade-transit_20151219_0136.gr.bz2,5755.0,27.0,5974.0,25579.0,3.0,0.00021803281601264388
people-mover_20150203_2012_subgraph_tram+bus.gr.bz2,1062.0,12.0,1079.0,4502.0,4.0,0.0009938426461662262
rseau-de-transport-de-longueuil_20151217_1019.gml.lp.gr.bz2,548.0,16.0,630.0,3347.0,4.0,0.0029399147046205868
metro-st-louis_20130916_1522_subgraph_train+metro+tram+bus.gr.bz2,5164.0,23.0,5363.0,21937.0,3.0,0.00023198309274114436
he149.gr.xz,675.0,1014.0,2856.0,149557.0,80.0,0.02121542136994903
sheep-pp-minor-0118.dgf.bz2,23.0,95.0,118.0,1839.0,50.0,0.2580761987541649
glendale-beeline_20151202_1859_subgraph_metro+bus.gr.bz2,189.0,6.0,209.0,761.0,3.0,0.0059578579315421425
janesville-transit-system_20150820_2037_subgraph_tram+bus.gr.bz2,208.0,6.0,224.0,928.0,3.0,0.006626361306854581
rvtd_20151202_1951.gr.bz2,259.0,4.0,290.0,1034.0,3.0,0.003913614127192459
u1817.tsp.dgf.bz2,1244.0,44.0,1817.0,13310.0,5.0,0.0016322834512036348
wcsp_16.gr.xz,136.0,56.0,198.0,2014.0,5.0,0.021560785520176384
cape-cod-regional-transit-authority_20130620_0312_subgraph_metro+bus.gr.bz2,109.0,5.0,128.0,462.0,3.0,0.01236466535433071
halifax-transit_20150930_1437_subgraph_train+metro+tram+bus.gr.bz2,2374.0,26.0,2436.0,10709.0,3.0,0.0004772694321657007
thecomet_20131025_1906.gr.bz2,156.0,3.0,168.0,624.0,4.0,0.0069503849443969205
humboldt-archiver_20151216_1436_subgraph_tram+bus.gr.bz2,238.0,6.0,265.0,1015.0,3.0,0.005031446540880503
he156.gr.xz,64042.0,434.0,85646.0,625285.0,4.0,3.107829398161579e-05
omit-sainte-julie_20151202_1945_subgraph_bus.gr.bz2,137.0,5.0,152.0,573.0,3.0,0.007973161380271872
ex090.gr.xz,176.0,12.0,201.0,919.0,3.0,0.009079601990049752
transit-authority-of-northern-kentucky_20141225_0110_subgraph_metro+bus.gr.bz2,1098.0,12.0,1174.0,4777.0,3.0,0.0011270043903792166
hamilton-street-railway_20151216_1914_subgraph_train+metro+tram+bus.gr.bz2,1853.0,13.0,1931.0,7890.0,3.0,0.0006308310279782013
everett-transit_20150319_0949.gr.bz2,431.0,8.0,453.0,1872.0,3.0,0.002857059133798277
ttc_20151217_1257_subgraph_train+metro+tram.gr.bz2,556.0,5.0,610.0,2093.0,3.0,0.0018277746372715282
advance-transit_20150115_1622_subgraph_bus.gr.bz2,157.0,5.0,166.0,625.0,3.0,0.006827309236947791
stebazzi81_20151219_1954_subgraph_metro+bus.gr.bz2,6463.0,54.0,6757.0,30844.0,3.0,0.00018444569861677995
hillsborough-area-regional-transit_20151217_1013_subgraph_bus.gr.bz2,2173.0,19.0,2250.0,9422.0,3.0,0.0005549132947976879
miway_20141023_1340_subgraph_metro+bus.gr.bz2,2691.0,28.0,2826.0,12670.0,3.0,0.0004808697993975036
massachusetts-archiver_20151219_0121_subgraph_metro+bus.gr.bz2,6787.0,46.0,7067.0,30670.0,3.0,0.00017344401334988218
utah-transit-authority_20151217_1021_subgraph_train+metro+tram+bus.gr.bz2,5923.0,28.0,6050.0,25601.0,3.0,0.000186493498686348
vancouver-wa-us.gml.lp.gr.bz2,121.0,13.0,146.0,739.0,4.0,0.012753897024090695
Promedus_20_13.gr.xz,143.0,15.0,193.0,979.0,5.0,0.00952612262521589
port-authority-of-allegheny-county_20140619_0109.gr.bz2,6116.0,24.0,6322.0,26394.0,3.0,0.00018335210896965924
ex084.gr.xz,56.0,80.0,161.0,3027.0,18.0,0.17201086956521738
socit-de-transport-de-sherbrooke_20150713_1557_subgraph_train+metro+tram+bus.gr.bz2,801.0,16.0,856.0,3814.0,3.0,0.0016888014428594852
orange-county-transportation-authority_20151202_1534_subgraph_metro+bus.gr.bz2,3888.0,40.0,4065.0,17704.0,3.0,0.0003305658056580566
empresa-municipal-de-transportes_20151219_0107.gr.bz2,2986.0,27.0,3252.0,15049.0,3.0,0.0004557212597656583
mountain-rides-transportation-authority-mrta_20140624_0104_subgraph_bus.gr.bz2,179.0,8.0,191.0,780.0,3.0,0.0068613943235050975
graph04-wpp.dgf.bz2,127.0,56.0,187.0,1731.0,6.0,0.01983784716232534
ex148.gr.xz,465.0,15.0,746.0,3335.0,5.0,0.00500926642316066
nc-state-university-wolfline_20150227_1735_subgraph_bus.gr.bz2,101.0,8.0,109.0,484.0,4.0,0.012317363234794428
mldickens_20150211_2214_subgraph_bus.gr.bz2,2501.0,26.0,2568.0,10888.0,3.0,0.00046829092471301824
metlink-archiver_20110705_0254_subgraph_bus.gr.bz2,2811.0,14.0,2904.0,12127.0,3.0,0.0004071023705884195
the-metro_20110104_0843.gml.lp.gr.bz2,521.0,34.0,612.0,3880.0,4.0,0.0028748542515751527
bkv-zrt_20120422_0314_subgraph_train+metro+tram.gr.bz2,370.0,4.0,409.0,1251.0,3.0,0.0025288844144014575
tmg_20121204_1532_subgraph_metro+bus.gr.bz2,165.0,6.0,193.0,678.0,3.0,0.006800518134715026
salem-keizer-metro-area-or-us.gml.lp.gr.bz2,86.0,8.0,109.0,462.0,4.0,0.016989466530750934
quebec_2016-01.gml.lp.gr.bz2,961.0,35.0,1105.0,6561.0,4.0,0.0019804577349334385
he017.gr.xz,701.0,57.0,840.0,5114.0,4.0,0.002432033600090811
metra_20130308_0424_subgraph_train+metro+tram+bus.gr.bz2,196.0,7.0,239.0,876.0,3.0,0.008403361344537815
transmetro_20140620_1542_subgraph_tram+bus.gr.bz2,419.0,5.0,437.0,1696.0,4.0,0.0024772741586715093
a1210993_20150717_0403.gml.lp.gr.bz2,1237.0,63.0,1465.0,10111.0,3.0,0.0012602808705869189
tmg_20121204_1532_subgraph_tram+bus.gr.bz2,166.0,6.0,193.0,682.0,3.0,0.006800518134715026
he133.gr.xz,3544.0,234.0,3952.0,72782.0,11.0,0.0030884406858510682
county-connection_20151217_1304_subgraph_bus.gr.bz2,828.0,9.0,878.0,3511.0,3.0,0.0014714171058407338
